,_id,位置,名称,均价
0,5b7f6dd5e7986a2e106aad9c,"[?梁溪?崇安?]?锡沪东路,近广和路",中洲崇安府,19500
1,5b7f6dd6e7986a2e106aad9d,"[?滨湖?蠡湖?]?金城西路,近金水路",蠡湖金茂府,31000
2,5b7f6dd6e7986a2e106aad9e,"[?锡山?鹅湖?]?甘虞路,近蘅芳路",中洲花溪樾,14000
3,5b7f6dd6e7986a2e106aad9f,"[?滨湖?太湖?]?贡湖大道,近塘铁桥路",中锐星公元,30000
4,5b7f6dd6e7986a2e106aada0,[?新吴?旺庄?]?长江南路，近新华路,正大万物城,13000
5,5b7f6dd6e7986a2e106aada1,[?新吴?新安?]?太科园具区路与净慧东道交汇处（大桥实...,远洋太湖宸章,
6,5b7f6dd6e7986a2e106aada2,[?梁溪?北塘?]?江海西路与会岸路交汇处,梁溪本源,16500
7,5b7f6dd6e7986a2e106aada3,[?新吴?新安?]?净慧东道，近和风路,启迪协信中心,12000
8,5b7f6dd6e7986a2e106aada4,[?梁溪?北塘?]?江海西路888号 （原金山北科技园会岸路...,无锡科技城(协信未来城),14000
9,5b7f6dd6e7986a2e106aada5,[?锡山?东亭?]?二泉东路，近团结中路,蓝光雍锦园,15500
10,5b7f6dd6e7986a2e106aada6,[?梁溪?北塘?]?盛岸路近钱皋路,小天鹅雍山府,
11,5b7f6dd6e7986a2e106aada7,"[?滨湖?马山?]?人民东路,近刘闾路",新力帝泊湾,120
12,5b7f6dd6e7986a2e106aada8,[?锡山?锡北?]?政丰路与泾声路交汇处（泉山文化公园对...,碧桂园金茂悦山,12000
13,5b7f6dd6e7986a2e106aada9,[?梁溪?崇安?]?锡沪路与通江大道交界处（乐都汇商圈的...,世茂璀璨时光,
14,5b7f6dd6e7986a2e106aadaa,"[?惠山?钱桥?]?上伟路,近香缇路",时代城,12000
15,5b7f6dd6e7986a2e106aadab,"[?惠山?堰桥?]?堰新路,近惠源路",龙湖天宸原著,16800
16,5b7f6dd6e7986a2e106aadac,"[?梁溪?北塘?]?广石西路,近凤宾路",万科北门塘上,23000
17,5b7f6dd6e7986a2e106aadad,"[?梁溪?崇安?]?江海路,近广益路",融侨悦府,28000
18,5b7f6dd6e7986a2e106aadae,[?惠山?堰桥?]?北环路，近新锡澄路,无锡阳光100阿尔勒,12000
19,5b7f6dd6e7986a2e106aadaf,[?新吴?梅村?]?金城路与梅东河交叉口西南侧,吴樾东方,16500
20,5b7f6dd6e7986a2e106aadb0,[?锡山?锡东?]?和祥路，近弘业东路,美的公园天下,20000
